Region,Rank,Species,,
neGOM, 54,–,,
US Virgin Islands, 1,H. garnoti,,
US Virgin Islands, 2,B. biunguiculatus,,
US Virgin Islands, 3,A. armatus,,
US Virgin Islands, 4,C. parrae,,
US Virgin Islands, 5,S. partitus,,
US Virgin Islands, 6,–,,
US Virgin Islands, 7,–,,
US Virgin Islands, 8,–,,
US Virgin Islands, 9,–,,
US Virgin Islands, 10,–,,
US Virgin Islands, 11,–,,
US Virgin Islands, 12,–,,
US Virgin Islands, 13,–,,
US Virgin Islands, 14,–,,
US Virgin Islands, 15,–,,
US Virgin Islands, 16,–,,
US Virgin Islands, 17,–,,
US Virgin Islands, 18,–,,
US Virgin Islands, 19,–,,
US Virgin Islands, 20,–,,
US Virgin Islands, 21,–,,
US Virgin Islands, 22,–,,
US Virgin Islands, 23,–,,
US Virgin Islands, 24,–,,
US Virgin Islands, 25,–,,
US Virgin Islands, 26,–,,
US Virgin Islands, 27,–,,
US Virgin Islands, 28,–,,
US Virgin Islands, 29,–,,
US Virgin Islands, 30,–,,
US Virgin Islands, 31,–,,
US Virgin Islands, 32,–,,
US Virgin Islands, 33,–,,
US Virgin Islands, 34,–,,
US Virgin Islands, 35,–,,
US Virgin Islands, 36,–,,
US Virgin Islands, 37,–,,
US Virgin Islands, 38,–,,
US Virgin Islands, 39,–,,
US Virgin Islands, 40,–,,
US Virgin Islands, 41,–,,
US Virgin Islands, 42,–,,
US Virgin Islands, 43,–,,
US Virgin Islands, 44,–,,
US Virgin Islands, 45,–,,
US Virgin Islands, 46,–,,
US Virgin Islands, 47,–,,
US Virgin Islands, 48,–,,
US Virgin Islands, 49,–,,
US Virgin Islands, 50,–,,
US Virgin Islands, 51,–,,
US Virgin Islands, 52,–,,
US Virgin Islands, 53,–,,
US Virgin Islands, 54,–,,
